,categories,seedwords,words,rseeds
10,cheerfulness,['joyful'],"['wistful', 'reverent', 'meditative', 'melancholy', 'elegiac', 'introspective', 'joyful', 'contemplative', 'rueful', 'hauntingly', 'decorous', 'serene', 'radiant', 'cathartic', 'antic', 'uplifting', 'portentous', 'lyrical', 'girlish', 'soulful', 'childlike', 'maudlin', 'wondrous', 'soothing', 'solemn', 'exhilarating', 'plaintive', 'dignified', 'hypnotic', 'otherworldly', 'lugubrious', 'palpably', 'sentimental', 'merry', 'anguished', 'gloriously', 'mesmerizing', 'sublime', 'poetic', 'dutiful', 'mawkish', 'sorrowful', 'playful', 'endearingly', 'histrionic', 'touchingly', 'endearing', 'inspiring', 'affectionate', 'purposeful', 'mischievous', 'invigorating', 'droll', 'touching', 'redemptive', 'rhapsodic', 'joyous', 'sardonic', 'unbearably', 'morbid', 'wry', 'jolly', 'thrilling', 'poignant', 'haunting', 'brooding', 'lighthearted', 'pensive', 'effervescent', 'heartbreaking', 'dreamy', 'cheerfulness', 'carefree', 'unforgettable', 'ethereal', 'celebratory', 'beguiling', 'mournful', 'seductive', 'sensual', 'exuberant', 'heartwarming']",[13]
11,aggression,['resentful'],"['indignant', 'unhappy', 'disillusioned', 'unloved', 'resent', 'terrified', 'rebellious', 'estranged', 'disenchanted', 'fearful', 'sullen', 'restless', 'jealous', 'understandably', 'ambivalent', 'disaffected', 'forgiving', 'bitter', 'jaded', 'betrayed', 'angry', 'irritated', 'defiant', 'resentful', 'antagonistic', 'uneducated', 'impatient', 'ostracized', 'smug', 'weary', 'tolerant', 'offended', 'cynical', 'despised', 'frustrated', 'threatened', 'bewildered', 'mistrust', 'disdainful', 'exasperated', 'indifferent', 'shamed', 'distressed', 'oppressed', 'anguished', 'lonely', 'disgruntled', 'dispirited', 'dissatisfied', 'outraged', 'belligerent', 'ungrateful', 'resented', 'intolerant', 'discontented', 'submissive', 'aggrieved', 'autocratic', 'nau00efve', 'uneasy', 'restive', 'ignorant', 'uncaring', 'aghast', 'complacent', 'mistrustful', 'annoyed', 'preoccupied', 'stubborn', 'aggression', 'disgusted', 'furious', 'contemptuous', 'irritable', 'aloof', 'conflicted', 'demoralized', 'despise', 'myopic', 'pained', 'apologetic', 'sympathetic', 'despondent', 'timid', 'judgmental', 'humiliated', 'alienated', 'apprehensive', 'distrustful', 'cowed', 'perplexed', 'ashamed', 'selfish', 'apathetic', 'envious', 'paranoid', 'mystified', 'insecure', 'embittered', 'callous', 'disenfranchised', 'confused', 'arrogant', 'hostile', 'bullied', 'marginalized', 'frightened', 'docile']",[107]
12,occupation,['interpreter'],"['fluent_english', 'interpreter', 'occupation', 'translator', 'broken_english']",[33]
13,envy,['determination'],"['eagerness', 'own_efforts', 'tenacity', 'unwillingness', 'reluctance', 'own_ability', 'main_objective', 'strong_desire', 'determination', 'efforts', 'courage', 'moral_authority', 'failure', 'vigor', 'ability', 'readiness', 'persistence', 'toughness', 'hesitancy', 'resolve', 'ambition', 'good_intentions', 'desire', 'confidence', 'instinct', 'effort', 'envy', 'determined', 'stubbornness', 'refusal', 'strength', 'resilience', 'commitment', 'zeal', 'willingness', 'inclination', 'struggle', 'belief', 'best_efforts', 'political_will', 'own_power', 'fortitude', 'sincerity', 'firmness', 'will', 'wish', 'inability']",[36]
14,anticipation,['curiosity'],"['yearning', 'strong_emotions', 'affection', 'longing', 'admiration', 'passion', 'wonderment', 'imagination', 'weirdness', 'excitement', 'nostalgia', 'reverence', 'bravado', 'enchantment', 'angst', 'restlessness', 'pity', 'puzzlement', 'exuberance', 'senses', 'enthusiasm', 'curiosity', 'selfawareness', 'selfconfidence', 'strangeness', 'obsession', 'trepidation', 'fascination', 'ambition', 'wistfulness', 'frisson', 'anticipation', 'revelation', 'longings', 'introspection', 'impulse', 'friendliness', 'selfconsciousness', 'ambivalence', 'awe', 'bewilderment', 'envy', 'fantasies', 'wanderlust', 'bafflement', 'befuddlement', 'dread', 'ardor', 'imaginations', 'shyness', 'vanity', 'preconceptions', 'familiarity', 'bemusement', 'eccentricity', 'eccentricities', 'jealousy', 'incredulity', 'intimacy', 'feelings', 'empathy', 'naivete', 'pleasure', 'amazement', 'exhilaration', 'feeling', 'good_manners', 'physical_beauty', 'contentment', 'passions', 'delight', 'inner_life', 'adoration', 'apprehension', 'astonishment']",[65]
15,family,['married'],"['mrs', 'widowed', 'second_husband', 'family', 'remarried', 'second_wife', 'late_mr', 'daughter', 'second_marriage', 'married', 'eloped', 'stepdaughter', 'wed', 'divorced', 'son', 'marry', 'bridetobe']",[18]
16,vacation,['restaurant'],"['eatery', 'diner', 'delicatessen', 'coffee_bar', 'bakery', 'inn', 'drew_nieporent', 'babbo', 'coffee_shop', 'proprietor', 'chef', 'nightclub', 'new_chef', 'mr_vongerichten', 'bistro', 'odeon', 'shop', 'mexican_restaurant', 'rainbow_room', 'sushi_bar', 'lespinasse', 'pino_luongo', 'wine_bar', 'pizzeria', 'trattoria', 'jean_georges', 'tavern', 'oceana', 'nobu', 'restaurants', 'la_caravelle', 'montrachet', 'cafe', 'japanese_restaurant', 'le_cirque', 'vong', 'store', 'pastry_chef', 'storefront', 'butcher_shop', 'orso', 'bar', 'la_cote_basque', 'danny_meyer', 'tabla', 'gramercy_tavern', 'alain_ducasse', 'own_restaurant', 'several_restaurants', 'brasserie', 'restaurant', 'le_madri', 'executive_chef', 'meatpacking_district', 'catering_business', 'luncheonette', 'restaurateur', 'balthazar', 'vacation', 'new_restaurant', 'first_restaurant', 'delmonico', 'la_grenouille', 'other_restaurants', 'caterer', 'french_restaurant', 'chanterelle', 'maitre_dhotel', 'mr_luongo', 'hotel', 'italian_restaurant', 'small_restaurant', 'pub', 'tearoom', 'pastry_shop', 'west_village', 'outdoor_cafe', 'lutece', 'chinese_restaurant', 'four_seasons', 'the_four_seasons', 'bartender', 'waiter', 'flatiron_district', 'tribeca', 'takeout', 'the_river_cafe', 'chez_louis', 'steakhouse', 'deli', 'le_bernardin', 'jeangeorges_vongerichten', 'spago', 'souschef', 'grill', 'theater_district', 'bouley', 'les_halles']",[37]
17,crime,['perpetrator'],"['serial_killer', 'eyewitness', 'defense_attorney', 'sadistic', 'mutilation', 'only_crime', 'despicable', 'battered_woman', 'confession', 'assassin', 'physical_force', 'rape_victim', 'alibi', 'villain', 'felon', 'innocent', 'alleged_victim', 'pathological', 'entrapment', 'convict', 'recklessness', 'serial', 'serial_rapist', 'malicious', 'criminality', 'torturer', 'sexual_assault', 'hate_crime', 'offender', 'murder_victim', 'cheat', 'murder', 'criminal', 'perpetrators', 'mobster', 'premeditated', 'criminally', 'crime', 'interrogator', 'perpetrator', 'atrocity', 'suspect', 'pedophile', 'lying', 'confessing', 'criminal_past', 'mr_royster', 'dead_man', 'coward', 'other_crime', 'assailant', 'depraved', 'terrible_crime', 'complicity', 'consensual', 'executioner', 'criminal_conduct', 'rape', 'cowardice', 'violent_act', 'con_man', 'criminal_activity', 'burglar', 'murder_case', 'mass_murderer', 'murderer', 'criminal_acts', 'entrapped', 'stalker', 'mugging', 'mass_murder', 'bad_judgment', 'cop', 'heinous_crime', 'cruelty', 'bias_crime', 'thug', 'motive', 'drug_user', 'thief', 'adultery', 'real_killer', 'hiss', 'drug_addict', 'gang_rape', 'wrong_person', 'liar', 'possible_motive', 'black_man', 'killer', 'deception', 'innocent_person', 'fellow_officer', 'criminal_intent', 'habitual', 'deceit', 'coverup', 'heinous', 'alleged', 'stupidity', 'carjacking', 'mr_goetz', 'psychotic', 'serial_killers', 'senseless', 'murder_plot', 'rapist', 'victim', 'kidnapper', 'accuser', 'depraved_indifference', 'incriminating', 'terrorist', 'consensual_sex', 'impostor', 'mark_fuhrman', 'rapists', 'attacker', 'adulterer', 'accomplices', 'innocent_victim', 'psychopath', 'killers', 'falsehood', 'sinner', 'accomplice', 'only_witness', 'batterer', 'homicide', 'mistaken_identity', 'hoax', 'complainant', 'perpetrated', 'criminal_act', 'sadist', 'insanity', 'decapitation', 'dishonesty', 'abuser', 'drug_dealer', 'wrong_man', 'premeditation', 'gang_member', 'prime_suspect', 'sociopath', 'viciousness', 'madman', 'culpability', 'transgression', 'innocent_man', 'malice']",[47]
18,attractive,['provocative'],"['cliched', 'revelatory', 'unimaginative', 'baffling', 'imaginative', 'reverential', 'vulgar', 'engrossing', 'overtly', 'tendentious', 'nuanced', 'gripping', 'grotesque', 'banal', 'didactic', 'formulaic', 'lurid', 'fanciful', 'perverse', 'stimulating', 'unconventional', 'outlandish', 'incisive', 'erotic', 'overt', 'polemical', 'simplistic', 'descriptive', 'melodramatic', 'engaging', 'pedantic', 'perceptive', 'amusing', 'poetic', 'novel', 'subversive', 'informative', 'provocative', 'repetitious', 'moralistic', 'visceral', 'amateurish', 'strident', 'authoritative', 'attractive', 'illuminating', 'idiosyncratic', 'oblique', 'comical', 'absorbing', 'patronizing', 'pretentious', 'enlightening', 'riveting', 'irreverent', 'condescending', 'humorous', 'artful', 'reductive', 'audacious', 'spontaneous', 'unconvincing', 'revealing', 'unsentimental', 'instructive', 'conceptually', 'literal', 'farcical', 'explicit', 'titillating', 'exploitative', 'irritating', 'coherent', 'entertaining', 'trenchant', 'lighthearted', 'daring', 'contrived', 'dogmatic', 'cogent', 'topical', 'salacious', 'facile', 'esoteric', 'insightful', 'lucid', 'gimmicky', 'superficial']",[70]
19,masculine,['surfer'],"['terrier', 'racer', 'hunter', 'parrot', 'bodybuilder', 'babe', 'hound', 'rodeo', 'masculine', 'cowgirl', 'sailor', 'grizzled', 'redhead', 'daredevil', 'biker', 'surfer', 'hiker', 'outdoorsman', 'snowboarder', 'cartoon_character', 'hobo', 'poodle', 'mermaid', 'mutt', 'chubby', 'lad', 'kayaker', 'shark', 'elf', 'alligator', 'geek', 'dachshund', 'starlet', 'dynamo', 'snowboard', 'enthusiast', 'doe', 'surfing', 'strapping', 'climber', 'birder', 'skateboard', 'blonde', 'nerd', 'cowboy', 'dude', 'diver', 'skier', 'cyclist', 'horseman', 'fisherman', 'hippie', 'bowler', 'surfboard', 'bulldog', 'pony', 'blond', 'shaggy', 'pirate', 'supermodel', 'swimsuit', 'kangaroo', 'jock', 'hustler', 'buff']",[29]
20,prison,['investigate'],"['prison', 'special_prosecutor', 'wrongdoing', 'new_investigation', 'investigate', 'preliminary_inquiry', 'independent_investigation', 'thorough_investigation', 'indict', 'investigates', 'police', 'uncover', 'prosecute', 'investigating', 'own_investigation', 'investigation', 'implicate', 'law_enforcement_authorities', 'monitor', 'subpoena', 'investigations', 'special_investigator', 'full_investigation', 'investigated', 'other_authorities', 'examine', 'special_task_force', 'criminal_investigations', 'the_federal_bureau_of_investigation', 'inquiry', 'own_inquiry', 'subpoena_power', 'criminal_inquiry', 'attorney_general_janet_reno', 'review']",[20]
21,health,['sufferer'],"['muscular_dystrophy', 'respiratory', 'sleepiness', 'coughs', 'blindness', 'cures', 'vomiting', 'degeneration', 'scurvy', 'neurological', 'rare_disease', 'serious_case', 'birth_defect', 'congenital', 'degenerative', 'brain_injury', 'psychosis', 'migraine_headaches', 'panic_attacks', 'postpartum_depression', 'other_ailments', 'deformity', 'severe_cases', 'heart_palpitations', 'numbness', 'other_symptoms', 'fevers', 'other_disorders', 'palpitations', 'dandruff', 'gout', 'bulimia', 'phobias', 'als', 'larynx', 'chronic', 'utero', 'lupus', 'sickness', 'abdominal_pain', 'thyroid', 'incontinence', 'asthmatic', 'herpes', 'senility', 'apnea', 'most_common_cause', 'rashes', 'sores', 'hypochondria', 'hyperactivity', 'night_sweats', 'kidney_problems', 'migraine', 'spina_bifida', 'hay_fever', 'deafness', 'bowel', 'clinical_depression', 'pain', 'memory_loss', 'tourette', 'malady', 'sexual_dysfunction', 'glaucoma', 'physical_symptoms', 'chest_pain', 'runny_nose', 'insomnia', 'cytomegalovirus', 'agoraphobia', 'sufferer', 'common_cold', 'intense_pain', 'toothache', 'excruciating_pain', 'hallucinations', 'manic_depression', 'suffering', 'joint_pain', 'narcolepsy', 'irritability', 'anesthetic', 'convulsions', 'baldness', 'epilepsy', 'migraines', 'rheumatism', 'physical_pain', 'angina', 'disfigurement', 'esophagus', 'sleep_apnea', 'wheezing', 'acne', 'spinal_cord_injury', 'colic', 'incurable', 'hearing_loss', 'deformities', 'constipation', 'eczema', 'fainting', 'sleeplessness', 'rare_form', 'health', 'affliction', 'severe_pain', 'sore_throats', 'chronic_pain', 'fatal_illness', 'skin_rashes', 'sufferers', 'high_fever', 'manicdepression', 'obsessivecompulsive_disorder', 'gangrene', 'sneezing', 'severe_case', 'psoriasis']",[10]
22,pride,['boldly'],"['pride', 'boldly', '']",[48]
23,dispute,['bickering'],"['infighting', 'rifts', 'partisan_bickering', 'squabbles', 'tumult', 'partisanship', 'resentments', 'strife', 'political_maneuvering', 'growing_sense', 'divisiveness', 'jockeying', 'turmoil', 'political_infighting', 'maneuvering', 'bad_blood', 'disunity', 'antagonism', 'discontent', 'grumbling', 'bickering', 'internal_disputes', 'dissension', 'rivalries', 'brinkmanship', 'power_struggle', 'backbiting', 'tension', 'politicking', 'recrimination', 'indecision', 'bitter_feelings', 'mistrust', 'fingerpointing', 'sniping', 'stalemate', 'vitriol', 'quarrels', 'ideological_differences', 'bad_feelings', 'controversies', 'antagonisms', 'distrust', 'squabble', 'skirmishing', 'feuds', 'feud', 'finger_pointing', 'political_battles', 'riven', 'rancor', 'rumblings', 'posturing', 'public_outrage', 'factionalism', 'hurt_feelings', 'dispute', 'animosity', 'squabbling', 'feuding', 'public_anger', 'namecalling', 'seething', 'confrontations', 'intransigence', 'weariness', 'disagreements', 'acrimony', 'unhappiness', 'political_posturing', 'political_differences', 'rift', 'inaction', 'bitterness', 'handwringing', 'open_warfare', 'power_struggles', 'deep_divisions', 'wrangling', 'political_struggle', 'recriminations', 'discord', 'agitation', 'apathy', 'ill_will', 'political_battle']",[21]
24,nervousness,['uneasy'],"['unhappy', 'uninterested', 'disillusioned', 'distrustful', 'uneasy', 'queasy', 'bewildered', 'circumspect', 'uncomfortable', 'disenchanted', 'fearful', 'sanguine', 'perplexed', 'complacent', 'apathetic', 'preoccupied', 'ambivalent', 'nervous', 'skittish', 'unimpressed', 'unwelcome', 'distressed', 'disgusted', 'alienated', 'unsettled', 'reticent', 'puzzled', 'mystified', 'angry', 'insecure', 'irritated', 'troubled', 'resentful', 'suspicious', 'nervousness', 'cautious', 'jittery', 'unsatisfied', 'impatient', 'dissatisfied', 'confused', 'wary', 'unconcerned', 'alarmed', 'worried', 'anxious', 'pessimistic', 'hostile', 'unenthusiastic', 'edgy', 'sympathetic', 'concerned', 'skeptical', 'leery', 'apprehensive']",[26]
25,government,['agency'],"['the_office_of_thrift_supervision', 'aviation_agency', 'several_agencies', 'the_health_care_financing_administration', 'new_unit', 'the_pension_benefit_guaranty_corporation', 'the_department_of_justice', 'independent_board', 'hospitals_corporation', 'international_agency', 'staffing', 'gao', 'ombudsman', 'the_department_of_health_and_human_services', 'government_agencies', 'federal_agencies', 'the_health_department', 'nrc', 'own_staff', 'many_agencies', 'agency', 'other_agencies', 'department', 'the_health_and_hospitals_corporation', 'inspector_generals_office', 'the_federal_highway_administration', 'the_department_of_defense', 'the_department_of_transportation', 'drug_agency', 'the_federal_emergency_management_agency', 'industry_group', 'the_transportation_security_administration', 'the_energy_department', 'attorney_generals_office', 'inspector_general', 'government_agency', 'the_human_resources_administration', 'osha', 'emergency_response', 'agency_officials', 'auditing', 'faa', 'hud', 'the_resolution_trust_corporation', 'agencies', 'task_force', 'the_department_of_health', 'city_agencies', 'security_agency', 'the_federal_government', 'new_agency', 'state_agencies', 'health_department', 'the_federal_railroad_administration', 'the_department_of_energy', 'monitoring', 'the_energy_departments', 'audit', 'the_general_accounting_office', 'environmental_agency', 'independent_monitor', 'the_state_department_of_health', 'the_department_of_labor', 'city_agency', 'accounting_office', 'the_postal_service', 'the_federal_aviation_administration', 'auditors', 'epa', 'audits', 'the_state_health_department', 'the_department_of_homeland_security', 'independent_agency', 'the_nuclear_regulatory_commission', 'new_procedures', 'the_environmental_protection_agency', 'the_school_construction_authority', 'the_transportation_department', 'bureau', 'private_contractors', 'review_board', 'corporation', 'fema', 'state_agency', 'the_customs_service', 'immigration_service', 'the_department_of_environmental_protection', 'housing_agency', 'the_occupational_safety_and_health_administration', 'hra', 'various_agencies', 'rtc', 'government', 'transit_agency', 'federal_agency', 'commission', 'the_defense_department', 'lead_agency', 'new_computer_system', 'empire', 'regulatory_agency', 'the_general_services_administration', 'oversight', 'the_department_of_housing_and_urban_development']",[3]
26,weakness,['crippled'],"['cripple', 'jolted', 'immobilized', 'weakened', 'quelled', 'mired', 'devastating_effect', 'paralyzing', 'wracked', 'depleted', 'battered', 'imperiled', 'sapped', 'damaged', 'precipitated', 'shaken', 'fearing', 'caused', 'devastating', 'wrecked', 'hampering', 'civil_unrest', 'debilitated', 'derailed', 'buffeted', 'exacerbated', 'scarred', 'paralyze', 'undone', 'gripped', 'compounded', 'worsened', 'prolonged', 'hobbled', 'devastate', 'crippling', 'bankrupted', 'foundering', 'crippled', 'reeling', 'suffered', 'averted', 'disrupted', 'curbed', 'destabilized', 'beset', 'suffering', 'demoralized', 'wreaked', 'worsening', 'weakness', 'plagued', 'aggravated', 'sustained', 'economic_collapse', 'disabled', 'undermined', 'hindered', 'hampered', 'devastated', 'ravaged', 'inflicted', 'decimated', 'paralyzed']",[32]
27,horror,['horrified'],"['indignant', 'amazed', 'chagrined', 'terrified', 'disoriented', 'smitten', 'bewildered', 'distraught', 'ashamed', 'perplexed', 'stunned', 'aghast', 'horror', 'jealous', 'sad', 'annoyed', 'scared', 'confided', 'dismayed', 'sorry', 'horrified', 'heartbroken', 'baffled', 'mortified', 'dumbfounded', 'disgusted', 'moved', 'petrified', 'distressed', 'bored', 'appalled', 'flabbergasted', 'envious', 'paranoid', 'puzzled', 'astounded', 'mystified', 'angry', 'disturbed', 'bemused', 'enraged', 'hysterical', 'elated', 'fascinated', 'hated', 'insulted', 'thrilled', 'amused', 'outraged', 'incredulous', 'overjoyed', 'speechless', 'shocked', 'awed', 'pained', 'flattered', 'startled', 'offended', 'clueless', 'frightened', 'saddened', 'embarrassed', 'panicked', 'astonished', 'brainwashed', 'tickled']",[67]
28,swearing_terms,['bad'],"['miserable', 'stupid', 'scary', 'ugly', 'nice', 'terrible', 'good', 'ok', 'awful', 'lousy', 'bad', 'horrible', 'sure', 'swearing_terms', 'dumb', 'dirty', 'good_thing', 'great', 'wrong']",[3]
29,leisure,['conversation'],"['long_conversation', 'conversations', 'small_talk', 'casual_conversation', 'phone_conversation', 'encounter', 'leisure', 'conversation']",[36]
30,suffering,['prolong'],"['impair', 'endanger', 'cripple', 'aggravate', 'cure', 'inhibit', 'avert', 'opposite_effect', 'complicate', 'trigger', 'induce', 'ameliorate', 'alleviate', 'imperil', 'prolong', 'retard', 'doom', 'exacerbate', 'hasten', 'hinder', 'delays', 'lengthen', 'paralyze', 'undo', 'diminish', 'prolonged', 'shorten', 'prolongs', 'forestall', 'disrupt', 'worsen', 'intensify', 'suffering', 'prolonging', 'impede', 'jeopardize', 'hamper', 'precipitate', 'delay', 'lessen', 'stall', 'abort', 'reverse']",[8]
31,royalty,['wealthy'],"['affluent', 'middleclass', 'billionaire', 'prosperous', 'modest_means', 'upper_class', 'wealthy_people', 'middle_class', 'millionaires', 'royalty', 'working_class', 'welltodo', 'wealthy', 'rich', 'fabulously', 'rich_people', 'wealthiest', 'millionaire']",[15]
32,wealthy,['flaunt'],"['charm', 'blind', 'dazzle', 'wow', 'exude', 'dabble', 'flaunt', 'terrify', 'thrill', 'style', 'embody', 'exalt', 'cloak', 'snicker', 'excite', 'imbue', 'indulging', 'bespeaks', 'delight', 'ostentation', 'spout', 'satirize', 'enchant', 'obsess', 'rediscover', 'flaunting', 'eschew', 'conjure', 'glorify', 'flaunted', 'envy', 'femininity', 'imitate', 'crave', 'strut', 'bespeak', 'feign', 'preen', 'fetish', 'amuse', 'embellish', 'astonish', 'good_looks', 'disdain', 'condescend', 'idiosyncrasies', 'betray', 'startle', 'indulge', 'adore', 'pine', 'fascinate', 'forsake', 'captivate', 'outshine', 'idealize', 'wink', 'flattering', 'camouflage', 'personalize', 'ape', 'skewer', 'insinuate', 'seduce', 'sneer', 'titillate', 'mock', 'prize', 'flirt', 'flatter', 'romanticize', 'wallow', 'connote', 'selfexpression', 'transcend', 'revel', 'ilk', 'wealthy', 'toy']",[4]
