,categories,seedwords,words,rseeds
11,aggression,"['dangerous', 'aggression', 'harshness', 'bravado', 'threat']","['aggression', 'powerful', 'danger', 'possessiveness', 'ferocity', 'current_state', 'evilness', 'wary', 'own_power', 'enemy', 'appeal', 'though', 'cruelty', 'aversion', 'menace', 'carpathian', 'certainty', 'suspicion', 'bearing', 'so_much_power', 'firestorm', 'vicious', 'arrogance', 'feared', 'power', 'lethal', 'inclination', 'pyr', 'jacques', 'certain', 'carpathians', 'retreat', 'harmful', 'inhuman', 'resentment', 'syndil', 'dislike', 'deception', 'motive', 'killing', 'superiority', 'superior', 'saber', 'lamia', 'uncertainty', 'changeling', 'fierceness', 'ruthless', 'vulnerability', 'such_power', 'manolito', 'much_power', 'perceived', 'darius', 'accusation', 'fearful', 'strigoi', 'dangerous', 'lycan', 'blood_lust', 'harshness', 'violence', 'bloodlust', 'frightening', 'formidable', 'madness', 'fae', 'opposition', 'exposure', 'yet', 'defiance', 'threat', 'faerie', 'provoked', 'ignorance', 'sorcerer', 'fear', 'true_nature', 'lifemate', 'declaration', 'mockery', 'weakness', 'forbidding', 'psy', 'cowardice', 'hostile', 'deadly', 'selfpreservation', 'intimidation', 'compulsion', 'unwise', 'intent', 'conviction', 'primitive', 'notion', 'hostility', 'wildness', 'malicious', 'peril', 'repelled', 'brutality', 'animosity', 'authority', 'malice', 'savage', 'resistance', 'lycans', 'intentions', 'extent', 'bravado', 'changelings', 'angered', 'ruse']","[85, 8, 82, 51, 60]"
12,occupation,"['owner', 'agent', 'attorney', 'inspector', 'singer']","['agency', 'fbi_agent', 'intern', 'accountant', 'mercenary', 'owner', 'musician', 'president', 'job', 'executive', 'researcher', 'citizen', 'mechanic', 'trainee', 'inspector', 'technician', 'producer', 'worker', 'helper', 'hired', 'photographer', 'informant', 'engineer', 'collector', 'colleague', 'chairman', 'client', 'ceo', 'business_man', 'mayor', 'prosecutor', 'inventor', 'advisor', 'detective', 'manager', 'scientist', 'senator', 'pope', 'associate', 'politician', 'journalist', 'artist', 'employer', 'singer', 'scholar', 'attorney', 'heiress', 'guardian', 'chief', 'foreman', 'profession', 'corporation', 'lawyer', 'founder', 'establishment', 'resident', 'personal_assistant', 'representative', 'businessman', 'surgeon', 'supervisor', 'police_force', 'actor', 'bodyguard', 'banker', 'employed', 'architect', 'governor', 'fbi', 'police_department', 'vice_president', 'administrator', 'assistant', 'accomplice', 'organization', 'agent', 'contractor', 'employee', 'industry', 'local', 'former', 'personal_guard', 'occupation', 'director', 'department', 'bachelor', 'consultant', 'organisation', 'infamous', 'investigator', 'successor', 'appointed', 'ambassador']","[82, 75, 28, 80, 59]"
13,envy,"['jealous', 'misery', 'hateful', 'vindictive', 'negativity']","['shameful', 'pitied', 'feelings', 'miserable', 'unwanted', 'selfish', 'disliking', 'vindictive', 'heartless', 'betrayal', 'hateful', 'angry', 'insecurity', 'hate', 'caring', 'envious', 'insecurities', 'hating', 'cruelty', 'infatuation', 'misery', 'unhappy', 'extremes', 'tormenting', 'petty', 'unhappiness', 'selfishness', 'spiteful', 'good_intentions', 'truly', 'jealousy', 'ignorance', 'vain', 'denial', 'nuisance', 'pity', 'loneliness', 'negativity', 'heartbreak', 'jealous', 'pitying', 'cruel', 'envy', 'own_self', 'hatred']","[44, 24, 37, 2, 38]"
14,anticipation,"['urgency', 'agitation', 'jittery', 'surge', 'aroused']","['sudden_rush', 'aggression', 'dread', 'yearning', 'unease', 'possessiveness', 'mere_thought', 'nervousness', 'awareness', 'overpowering', 'coursing', 'surging', 'strange_sensation', 'anticipation', 'familiar_feeling', 'harshness', 'intensity', 'sensitivity', 'insecurity', 'discomfort', 'hopelessness', 'resentment', 'stirring', 'overwhelming', 'restlessness', 'eagerness', 'revulsion', 'hostility', 'strange_sense', 'desire', 'tenderness', 'bloodlust', 'arousal', 'palpable', 'intensified', 'overwhelmed', 'wildness', 'aroused', 'helplessness', 'ebbed', 'calmness', 'weariness', 'urgency', 'euphoria', 'sudden_feeling', 'familiarity', 'jittery', 'agitation', 'anxiousness', 'impatience', 'irritation', 'uncertainty', 'fueled', 'foreboding', 'surge', 'protectiveness', 'tremor', 'desperation', 'fierceness', 'uneasiness', 'nearness', 'new_feeling', 'longing', 'vulnerability', 'sudden_surge', 'anxiety', 'twinge', 'fear', 'wariness', 'exhilaration', 'trepidation', 'tenseness', 'apprehension', 'rapture', 'elation']","[73, 39, 71, 32, 23]"
15,family,"['godfather', 'family', 'stepmother', 'godmother', 'stepmother']","['youngest_son', 'motherinlaw', 'step_mother', 'real_father', 'relatives', 'nephew', 'daughters', 'biological_mother', 'parent', 'grandson', 'real_mother', 'aunt', 'foster_mother', 'great_grandmother', 'exwife', 'great_aunt', 'biological_father', 'grandparents', 'stepmom', 'sister', 'halfsister', 'grandfather', 'grandmother', 'sisterinlaw', 'granddaughter', 'husband', 'only_son', 'foster_parents', 'older_sister', 'sisters', 'birth_mother', 'exhusband', 'stepmother', 'foster', 'stepfather', 'halfbrother', 'first_wife', 'godmother', 'youngest_daughter', 'youngest_child', 'eldest_son', 'new_husband', 'elder_brother', 'wife', 'cousin', 'niece', 'siblings', 'whole_family', 'younger_sister', 'adoptive_parents', 'entire_family', 'fiancu00e9', 'own_family', 'daughter', 'mother', 'adoptive_mother', 'real_mom', 'family', 'only_daughter', 'elder_sister', 'own_parents', 'uncle', 'loving_mother', 'fiancu00e9e', 'new_wife', 'nanny', 'parents', 'eldest_daughter', 'grandchild', 'brother', 'biological', 'father', 'sons', 'godfather']","[73, 0, 48, 11, 48]"
16,vacation,"['airport', 'carnival', 'location', 'visit', 'ocean']","['next_town', 'next_destination', 'resort', 'airport', 'safe_house', 'mall', 'home', 'downtown', 'meeting_place', 'private_jet', 'central_park', 'brighton', 'location', 'bungalow', 'beach', 'theme_park', 'london_eye', 'little_town', 'disneyland', 'pier', 'campsite', 'countryside', 'shopping_centre', 'train_station', 'shopping_mall', 'private_plane', 'town', 'ohio', 'seattle', 'harbour', 'colorado', 'london', 'lake', 'hawaii', 'miami', 'boardwalk', 'florida', 'melbourne', 'trip', 'beach_house', 'new_york', 'campground', 'plaza', 'market', 'vacation', 'ocean', 'hometown', 'water_park', 'cemetery', 'next_stop', 'new_york_city', 'museum', 'shopping_center', 'california', 'times_square', 'shops', 'amusement_park', 'yacht', 'san_diego', 'harbor', 'house', 'cruise_ship', 'visit', 'new_jersey', 'camp_site', 'villa', 'carnival', 'next_city', 'plane', 'la', 'ferry', 'lake_house', 'aquarium', 'chicago', 'park', 'big_ben', 'cruise', 'country_side', 'new_home', 'little_place', 'nashville', 'town_hall', 'city', 'dublin', 'orlando', 'hotel', 'first_house', 'mainland', 'docks', 'manhattan', 'subway', 'place', 'caravan', 'boston', 'last_stop', 'funeral_home', 'denver', 'montana']","[77, 36, 7, 53, 93]"
17,crime,"['smuggling', 'accomplice', 'perpetrator', 'investigation', 'victim']","['agency', 'perpetrator', 'murderer', 'is', 'mercenary', 'penalty', 'enemy', 'raid', 'warrant', 'death_penalty', 'assassin', 'crisis', 'government', 'ambush', 'tasked', 'inmate', 'civilian', 'identity', 'order', 'law_enforcement', 'experiments', 'treason', 'abduction', 'murder', 'testimony', 'theft', 'massacre', 'hostages', 'informant', 'test_subjects', 'convict', 'senate', 'allegedly', 'exile', 'foul_play', 'kidnap', 'criminals', 'cabal', 'defendant', 'victims', 'targeted', 'crimes', 'arson', 'terrorist', 'last_resort', 'felony', 'investigated', 'homicide', 'motive', 'killing', 'casualties', 'detective', 'facility', 'hitler', 'sources', 'terrorists', 'thievery', 'scientist', 'investigation', 'fugitive', 'possession', 'aiding', 'senator', 'associate', 'robbery', 'employer', 'object', 'rebels', 'test_subject', 'operation', 'victim', 'breach', 'church', 'subordinates', 'burglary', 'criminal', 'trial', 'execution', 'assault', 'discovery', 'witness', 'coroner', 'imprisonment', 'association', 'corporation', 'involvement', 'apprehended', 'terminated', 'prosecuted', 'establishment', 'beheaded', 'convicted', 'smuggling', 'death_sentence', 'assassination', 'authorities', 'witnesses', 'council', 'police_force', 'commission', 'apprehend', 'arrest', 'accomplices', 'fraud', 'higher_ups', 'rebellion', 'associates', 'operations', 'eliminate', 'scheme', 'evidence', 'claims', 'invasion', 'investigations', 'conspiracy', 'employed', 'prisoner', 'revolt', 'governor', 'prosecution', 'kidnapping', 'suspects', 'protocol', 'treachery', 'liability', 'adultery', 'subsequently', 'accomplice', 'investigating', 'enough_evidence', 'organization', 'agent', 'contractor', 'executed', 'investigators', 'scientists', 'bureau', 'demise', 'slaughter', 'surveillance', 'offender', 'autopsy', 'crime', 'conquest', 'suspect', 'researchers', 'assassins', 'organisation', 'entity', 'investigator', 'targeting', 'experiment', 'murders', 'furthermore', 'crime_scene', 'killings', 'liable']","[111, 57, 47, 64, 9]"
18,attractive,"['curvy', 'charmingly', 'desirable', 'charismatic', 'mesmerizing']","['scrawny', 'dainty', 'tall', 'quirky', 'tanned', 'defined', 'enticing', 'voluptuous', 'undeniably', 'edgy', 'regal', 'astonishing', 'best_feature', 'great_body', 'irresistible', 'tan', 'breathtaking', 'breathtakingly', 'curvaceous', 'effortless', 'toned', 'shapely', 'likeable', 'vibrant', 'stylish', 'youthful', 'skin_color', 'majestic', 'built', 'provocative', 'athletic', 'captivating', 'alluring', 'charmingly', 'admirable', 'likable', 'slender', 'mesmerising', 'intelligent', 'body_type', 'fashionable', 'flawless', 'strikingly', 'masculine', 'exquisite', 'desirable', 'dazzling', 'daring', 'striking', 'feminine', 'slim', 'enchanting', 'refined', 'lithe', 'charismatic', 'radiant', 'bone_structure', 'unattractive', 'delicate', 'extraordinarily', 'dreamy', 'womanly', 'rugged', 'petite', 'angelic', 'conservative', 'plump', 'attractive', 'elegant', 'rounded', 'stunningly', 'mesmerizing', 'complexion', 'boyish', 'exotic', 'muscly', 'angular', 'curvy', 'proportioned', 'facial_structure', 'body_shape', 'endearing', 'expressive', 'pleasing', 'sophisticated', 'flattering']","[84, 17, 5, 51, 20]"
19,masculine,"['domineering', 'overpowering', 'distinct', 'masculine', 'appeal']","['animalistic', 'exquisite', 'sensual', 'desirable', 'imposing', 'distinct', 'mild', 'overpowering', 'potent', 'unnatural', 'disconcerting', 'inhuman', 'youthful', 'striking', 'unsettling', 'feminine', 'primitive', 'unmistakable', 'appeal', 'acute', 'menacing', 'frightening', 'enticing', 'enchanting', 'exotic', 'refined', 'captivating', 'sinister', 'remarkable', 'alluring', 'admirable', 'malicious', 'sensuous', 'monstrous', 'reminiscent', 'subtle', 'bearing', 'domineering', 'fierce', 'erotic', 'unearthly', 'compelling', 'profound', 'unmistakably', 'primal', 'ferocious', 'endearing', 'distinctive', 'enhanced', 'heady', 'expressive', 'pleasing', 'hypnotic', 'grotesque', 'lethal', 'disturbingly', 'remarkably', 'magnetic', 'unpleasant', 'dominant', 'rugged', 'ethereal', 'intoxicating', 'alarming', 'startling', 'masculine']","[33, 14, 38, 0, 28]"
20,prison,"['escort', 'walled', 'informant', 'patrolling', 'gatekeeper']","['evacuating', 'tower', 'scouted', 'garrison', 'trooped', 'main_gate', 'other_guards', 'safe_house', 'walled', 'depart', 'city_hall', 'ambush', 'private_quarters', 'sentries', 'radioed', 'guarding', 'stationed', 'informant', 'attendants', 'assisted', 'manor', 'guard', 'herded', 'scouts', 'accompany', 'evacuate', 'reception_area', 'manning', 'helpers', 'dispatch', 'prison', 'barracks', 'escorts', 'patrols', 'guards', 'dispatched', 'escorting', 'accompanying', 'living_quarters', 'gatekeeper', 'herding', 'chief', 'infiltrate', 'patrolling', 'troop', 'supervising', 'castle_grounds', 'offices', 'other_officers', 'east_wing', 'scout', 'security_team', 'squadron', 'bodyguards', 'transport', 'escort', 'evacuated', 'assembled', 'escorted', 'residence', 'lead', 'assist', 'patrolled', 'caretaker', 'designated', 'vacate', 'west_wing', 'flanked', 'rejoin', 'scouting', 'patrol', 'town_hall', 'hq', 'leading', 'compound', 'other_agents', 'report', 'ushered', 'headquarters', 'manned', 'gates']","[47, 54, 67, 46, 1]"
21,health,"['vaccination', 'coma', 'vaccine', 'schizophrenic', 'medication']","['infection', 'vaccine', 'blood_loss', 'doctors', 'scans', 'anesthetic', 'recovery', 'shrink', 'medications', 'pain_medicine', 'asthma', 'overdosed', 'head_injury', 'therapy', 'complications', 'life_support', 'health', 'internal_bleeding', 'tumor', 'sedatives', 'xrays', 'tumour', 'diagnose', 'disease', 'rehab', 'hallucinations', 'vaccination', 'cancer', 'diabetes', 'symptom', 'therapy_sessions', 'stable_condition', 'mental_hospital', 'injection', 'pregnancy', 'serum', 'cardiac_arrest', 'sickness', 'diagnosed', 'suicide_watch', 'pain_killers', 'bed_rest', 'lung_cancer', 'hiv', 'flu', 'insomnia', 'chemotherapy', 'diagnosis', 'miscarriage', 'cured', 'full_recovery', 'fever', 'comatose_state', 'brain_cancer', 'pain_medication', 'memory_loss', 'labour', 'coma', 'pain_meds', 'concussion', 'headaches', 'minor_injuries', 'dementia', 'treatment', 'transplant', 'migraines', 'suffering', 'injury', 'psychiatrist', 'symptoms', 'therapist', 'meds', 'trauma', 'surgeries', 'counseling', 'psychologist', 'bone_marrow', 'ptsd', 'depression', 'doctor', 'operation', 'chemo', 'blood_tests', 'heart_disease', 'physical_therapy', 'miscarried', 'prescribed', 'relapse', 'heart_condition', 'epidural', 'seizure', 'intensive_care', 'food_poisoning', 'critical_condition', 'alcohol_poisoning', 'blood_test', 'serious_injuries', 'panic_attacks', 'illness', 'painkillers', 'condition', 'brain_damage', 'medicine', 'bedridden', 'antibiotics', 'morphine', 'dosage', 'medication', 'check_ups', 'anesthesia', 'stomach_bug', 'side_effect', 'treatments', 'suicide_attempt', 'antidepressants', 'surgery', 'schizophrenic', 'hospitalized', 'amnesia', 'schizophrenia', 'anemia', 'anorexia', 'mild_concussion', 'seizures', 'discharged', 'heart_problems', 'mental_illness', 'labor', 'high_fever', 'near_death_experience', 'blood_transfusion', 'leukemia', 'sedative', 'epilepsy', 'cure', 'blackouts', 'bipolar_disorder', 'emergency_surgery', 'hospital', 'injections', 'autopsy', 'head_trauma', 'sedated', 'comma', 'medically', 'prescription', 'overdose', 'patient', 'pneumonia', 'brain_tumor', 'side_effects', 'morning_sickness', 'mri', 'prescribe', 'alzheimer', 'brain_activity']","[89, 64, 65, 43, 119]"
22,pride,"['boldly', 'gloat', 'victory', 'proudly', 'truthfulness']","['satisfaction', 'foolishness', 'adversary', 'greatness', 'boldly', 'emperor', 'leadership', 'glory', 'comrades', 'bravery', 'reward', 'ranks', 'pride', 'enjoyment', 'legions', 'prize', 'full_power', 'prowess', 'gloating', 'winning', 'determination', 'claudius', 'gloat', 'domination', 'victory', 'forces', 'truthfulness', 'loyalty', 'challenge', 'allegiance', 'opposition', 'superiority', 'certainty', 'victorious', 'good_fortune', 'firestorm', 'defiance', 'achievement', 'rebellion', 'accomplishment', 'triumph', 'return', 'praise', 'supremacy', 'trophy', 'retribution', 'success', 'sacrifice', 'declaration', 'caratacus', 'small_victory', 'battle', 'legion', 'retaliation', 'win', 'victor', 'acceptance', 'duel', 'proudly']","[48, 23, 12, 13, 27]"
23,dispute,"['disagreement', 'interfere', 'arguing', 'disagree', 'ridicule']","['involved', 'justified', 'resort', 'oppose', 'appeal', 'argument', 'insulting', 'involve', 'shenanigans', 'compromise', 'argue', 'affairs', 'logically', 'agree', 'adamant', 'disregard', 'sympathize', 'discuss', 'such_things', 'disagreed', 'contribute', 'interfere', 'deal', 'implied', 'accept', 'interference', 'resent', 'arguments', 'ridicule', 'meddle', 'resolve', 'reprimand', 'neither', 'eavesdropping', 'tolerated', 'associate', 'concede', 'question', 'disapprove', 'issue', 'resolved', 'respecting', 'discussion', 'quarrel', 'intervene', 'provoke', 'interfering', 'engage', 'disagreeing', 'pester', 'associating', 'concerning', 'contradict', 'influence', 'impose', 'either', 'exclude', 'understand', 'arguing', 'debate', 'dispute', 'communicating', 'own_reasons', 'persuading', 'benefit', 'persist', 'justify', 'conflict', 'approve', 'disagree', 'regardless', 'consult', 'anger', 'argued', 'acknowledge', 'interfered', 'tolerate', 'disagreement', 'obviously', 'reasoning', 'discourage', 'concern', 'complain', 'suspect', 'interrogate', 'disapproved', 'confronting', 'speculate']","[13, 33, 79, 80, 38]"
